Цвет текстиля,Номер,Где используется,Место покупки,Комментарии,Закупки,Связанные выдачи,Выдано швеям,Швеи связанные,Общий метраж купленный,Formula
Осяное молоко лен,алмас 03,,"Алмас Дима, Реутовская мануфактура",,,,0,,0,0
Розовый кварц лен,"HL-202 (270 г/м, 2069 лен)",,Бархатный лепесток,,,,0,,0,0
Льняной холст,Jas Thomas-C3,,Дом текстиля,,,,0,,0,0
,,,,,,,0,,0,0
Пудровый гамма,Lizya AR01403 V-97,,ВсетканиТут,,,,0,,0,0
Эвкалиптовый гамма,Lizya AR01403  248.,,ВсетканиТут,,,,0,,0,0
Темно-синий гамма,206,,ВсетканиТут,,,,0,,0,0
Ванильный гамма,Interio SL1004-V03/300P,,Дом текстиля,,,,0,,0,0
Белый гамма,Interio.  Byd Ada fonluk-V01/300P,,Дом текстиля,,,,0,,0,0
Мента гамма,Interio SL1004-V09/300P,,Дом текстиля,,,,0,,0,0
Дымчатый гамма,,,Садовод Саид,,,,0,,0,0
Черный гамма,Interio FB ANTIK-BLK/300P,,Дом текстиля,,,,0,,0,0
Голубое облако гамма,Lizya AR01403 V514,,Садовод Саид,,,,0,,0,0
Хвойный лес,инфлюк 22,,Дом текстиля,,,,0,,0,0
Фисташковый,инфлюк 24,,Дом текстиля,,,,0,,0,0
Пшеничный,v96,,Колибри,,,,0,,0,0
Светло-серый,ht kanvas 794|300,,Дом текстиля,,,,0,,0,0
Сливочный (масло),софия 94,,софия реутов мануфактура,,,,0,,0,0
Молочный альфа,неизвестно,,Сельхоз,,,,0,,0,0
Пломбир альфа,001,,Бархатный лепесток,,,,0,,0,0
Охровый альфа,418,,Бархатный лепесток,,,,0,,0,0
Оливковый  альфа,624,,Бархатный лепесток,,,,0,,0,0
Инжирный,307,,Бархатный лепесток,,,,0,,0,0
Кофейный,906,,Бархатный лепесток,,,,0,,0,0
Граффитовый,812,,Бархатный лепесток,,,,0,,0,0
Зеленый,613,,Бархатный лепесток,,,,0,,0,0
Изумрудный,,,Сельхоз,,,,0,,0,0
Фуксия,213,,Бархатный лепесток,,,,0,,0,0
снежный,000,,Бархатный лепесток,,,,0,,0,0
Лимонадный,403,,,,,,0,,0,0
Мех букле белый,,,Стартекс,,,,0,,0,0
Парча Юми серебро,,,,,,,0,,0,0
Парча Юми золото,,,,,,,0,,0,0
Каппа Диор зеленый,,,Айсулы,,,,0,,0,0
,,,,,,,0,,0,0
