Цвет текстиля,Formula,Выдано швеям,Выдачи,Где используется,Закупки,Комментарии,Место покупки,Номер,Общий метраж купленный,Поставки,Связанные выдачи,Тип ткани,Швеи связанные
Фиолетовый люпин,65,0,Отдала на пошив 5 боу (%D0%96%D1%83%D1%80%D0%BD%D0%B0%D0%BB%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%B2%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%20%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%B8%D0%BB%D1%8F/%D0%92%D1%8B%D0%B4%D0%B0%D1%87%D0%B8/%D0%9E%D1%82%D0%B4%D0%B0%D0%BB%D0%B0%20%D0%BD%D0%B0%20%D0%BF%D0%BE%D1%88%D0%B8%D0%B2%205%20%D0%B1%D0%BE%D1%83%201ede4f8ffb4180dbb17cff9d3b90e9fc.md),,Купила 1 рулон люпина (%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D0%BA%D0%B8%20%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%B8%D0%BB%D1%8F/%D0%9F%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8/%D0%9A%D1%83%D0%BF%D0%B8%D0%BB%D0%B0%201%20%D1%80%D1%83%D0%BB%D0%BE%D0%BD%20%D0%BB%D1%8E%D0%BF%D0%B8%D0%BD%D0%B0%201ede4f8ffb4180579a05e4ec8723848a.md),,Шер,312-81,65,Купила 1 рулон люпина (%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D0%BA%D0%B8%20%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%B8%D0%BB%D1%8F/%D0%9F%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8/%D0%9A%D1%83%D0%BF%D0%B8%D0%BB%D0%B0%201%20%D1%80%D1%83%D0%BB%D0%BE%D0%BD%20%D0%BB%D1%8E%D0%BF%D0%B8%D0%BD%D0%B0%201ede4f8ffb4180579a05e4ec8723848a.md),,Бархат Бета,
Фруктовый зефир,0,0,,,,,"Реутовская мануфактура, Шер",312-52,0,,,Бархат Бета,
"Розовая сакура ",0,0,,,,,"Реутовская мануфактура, Шер",312-55,0,,,Бархат Бета,
Шалфей серебристый,0,0,,,,,"Реутовская мануфактура, Шер",312-69,0,,,Бархат Бета,
Дымчатый,0,0,,,,,Дом текстиля,Toscana HLR 310-80/300P,0,,,Бархат Бета,
Гранатовый скатерти (салфетки и мини фуфы),0,0,,"Пуфы Фуфик, Салфетки, Скатерти",,,"Реутовская мануфактура, Шер",312-61,0,,,Бархат Бета,
Черный пуф миди макси,0,0,,"Пуфы Квадро, Пуфы Фуфик Макси, Пуфы Фуфик Миди",,,Садовод Абдулазиз,999-023,0,,,Бархат Бета,
Осяное молоко лен,0,0,,,,,"Алмас Дима, Реутовская мануфактура",алмас 03,0,,,Лен,
Серый оникс,0,0,,,,,Дом текстиля,HH GD 3872- 227,0,,,Шелк,
Мента гамма,0,0,,,,,Дом текстиля,Interio SL1004-V09/300P,0,,,Канвас Гамма,
Темная ночь,0,0,,,,,Садовод Абдулазиз,999-98,0,,,Бархат Бета,
Белый гамма,0,0,,,,,Дом текстиля,Interio.  Byd Ada fonluk-V01/300P,0,,,Канвас Гамма,
Пудровый гамма,0,0,,,,,ВсетканиТут,Lizya AR01403 V-97,0,,,Канвас Гамма,
Черный шелк,0,0,,,,,Садовод Мухаммад,А-32,0,,,Шелк,
Хвойный лес,0,0,,,,,Дом текстиля,инфлюк 22,0,,,Канвас Гамма,
Голубое облако гамма,0,0,,,,,Садовод Саид,Lizya AR01403 V514,0,,,Канвас Гамма,
Светло-серый,0,0,,,,,Дом текстиля,ht kanvas 794|300,0,,,Канвас Гамма,
Эвкалиптовый гамма,0,0,,,,,ВсетканиТут,Lizya AR01403  248.,0,,,Канвас Гамма,
Лунно-розовый,0,0,,,,,Дом текстиля,HH GD 3872- 250,0,,,Шелк,
Шампань,0,0,,,,,Дом текстиля,HH GD3872-202,0,,,Шелк,
Пудровый шелк,0,0,,,,,Садовод Мухаммад,А-22,0,,,Шелк,
Кремовый,0,0,,,,,Алмас Дима,501-01,0,,,Шелк,
Черный гамма,0,0,,,,,Дом текстиля,Interio FB ANTIK-BLK/300P,0,,,Канвас Гамма,
Ванильный гамма,0,0,,,,,Дом текстиля,Interio SL1004-V03/300P,0,,,Канвас Гамма,
Охровый альфа,0,0,,,,,Бархатный лепесток,418,0,,,Габардин Альфа,
Дымчатый гамма,0,0,,,,,Садовод Саид,,0,,,Канвас Гамма,
Молочный альфа,0,0,,,,,Сельхоз,неизвестно,0,,,Габардин Альфа,
Фисташковый,0,0,,,,,Дом текстиля,инфлюк 24,0,,,Канвас Гамма,
Айвори шелк,0,0,,,,,"Садовод Абдулазиз, Садовод Мухаммад",А-28,0,,,Шелк,
Оливковый  альфа,0,0,,,,,Бархатный лепесток,624,0,,,Габардин Альфа,
Белая глазурь,0,0,,,,Фиговый сатин,Садовод Абдулазиз,странный толстый,0,,,Шелк,
Пломбир альфа,0,0,,,,,Бархатный лепесток,001,0,,,Габардин Альфа,
Розовый кварц лен,0,0,,,,,Бархатный лепесток,"HL-202 (270 г/м, 2069 лен)",0,,,Лен,
Пшеничный,0,0,,,,,Колибри,v96,0,,,Канвас Гамма,
Темно-синий гамма,0,0,,,,,ВсетканиТут,206,0,,,Канвас Гамма,
Тихий океан,0,0,,,,,Шер,312-38,0,,,Бархат Бета,
Фуксия,0,0,,,,,Бархатный лепесток,213,0,,,Габардин Альфа,
Инжирный,0,0,,,,,Бархатный лепесток,307,0,,,Габардин Альфа,
Кофейный,0,0,,,,,Бархатный лепесток,906,0,,,Габардин Альфа,
Граффитовый,0,0,,,,,Бархатный лепесток,812,0,,,Габардин Альфа,
Зеленый,0,0,,,,,Бархатный лепесток,613,0,,,Габардин Альфа,
Изумрудный,0,0,,,,,Сельхоз,,0,,,Габардин Альфа,
,0,0,,,,,,,0,,,Бархат Бета,
Блеск аметиста,0,0,,,,,Дом текстиля,HX 62108006-05,0,,,Шелк,
