Name,Дата закупки,Метраж куплено,Ткани
Купила 1 рулон люпина,"May 7, 2025",65,Фиолетовый люпин (%D0%A6%D0%B2%D0%B5%D1%82%D0%B0%20%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%B8%D0%BB%D1%8F/%D0%A2%D0%BA%D0%B0%D0%BD%D0%B8/%D0%A4%D0%B8%D0%BE%D0%BB%D0%B5%D1%82%D0%BE%D0%B2%D1%8B%D0%B9%20%D0%BB%D1%8E%D0%BF%D0%B8%D0%BD%201ede4f8ffb4180e6aba5c9decf610e02.md)
Купила 3 рулона спелая дыня,"May 8, 2025",112,Спелая дыня (%D0%A6%D0%B2%D0%B5%D1%82%D0%B0%20%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%B8%D0%BB%D1%8F/%D0%A2%D0%BA%D0%B0%D0%BD%D0%B8/%D0%A1%D0%BF%D0%B5%D0%BB%D0%B0%D1%8F%20%D0%B4%D1%8B%D0%BD%D1%8F%201ede4f8ffb41800085ecccbe6342b32b.md)
